,name,price,discount
0,"Spider-01 White Sports,Casual,Walking,Gym, Running Shoe...","₹1,149",42% off
1,Crystal-13 Black sky Sports Transparent Sole Technology...,"₹1,348",41% off
2,Exclusive Range of Stylish Casual Walking Comfortable S...,₹192,72% off
3,Revolution 6 Next Nature Road s Running Shoes For Men,"₹2,277",38% off
4,Exclusive Range of Stylish Comfortable Sports Sneakers ...,₹249,75% off
5,Running Shoes For Men,₹269,73% off
6,Running Shoes For Men,₹599,70% off
7,Boots For Men,₹429,57% off
8,Running Shoes For Men Running Shoes For Men,₹399,60% off
9,JK Port Fashionable Sports Shoes Running Shoes For Men,₹449,55% off
10,Tesla-44 Running Shoes For Men,₹394,60% off
11,Running Shoes For Men,₹249,75% off
12,Designer Loafers For Men,₹204,59% off
13,Fit-Man Slip On Sneakers For Men,₹159,87% off
14,"Casual , Partywear Sneakers Shoes For Men's And Boys Wh...",₹249,62% off
15,Boots For Men,₹499,50% off
16,5013-Latest Collection Stylish & Trendy of casuals Snea...,₹159,68% off
17,5011-Latest Collection Stylish & Trendy Casual Sneakers...,₹159,68% off
18,Running Shoes For Men,₹349,65% off
19,Rider-01 White Running Shoes for Men I Sport Shoes for ...,"₹1,148",42% off
20,Stride Runner Running Shoes For Men,₹994,47% off
21,SOCKS Training & Gym Shoes For Men,₹349,70% off
22,SOCKS Running Shoes For Men,₹349,65% off
23,For Men,₹269,86% off
24,Sports Casual Running Shoes For Men,₹394,60% off
25,HURRICANE Running Shoes For Men,₹749,42% off
26,Running Shoes Running Shoes For Men,₹249,75% off
27,Hustle V2 Wns Running Shoes For Women,"₹1,139",71% off
28,Men 9323 Latest Collection Stylish Sports Sneakers Runn...,₹199,80% off
29,Loafers For Men,₹199,80% off
30,Sneakers Sneakers For Men,₹348,65% off
31,Mesh Sports Walking Shoes For Men,₹249,50% off
32,Stylish Good Looking Casual Shoes Loafers For Men,₹389,61% off
33,Casuals For Men,₹349,82% off
34,Loafers For Men,₹394,60% off
35,Walking Shoes For Women,₹412,58% off
36,"Stylish Comfortable Lightweight, Breathable Running Sho...",₹275,72% off
37,Energy Runner 2.0 Running Shoes For Men,"₹1,214",47% off
38,Plasma-08 sports shoes for men | Latest Stylish Casual ...,₹549,56% off
39,"Plasma-05 White Sports,Walking,Casual, Running Shoes Fo...",₹549,56% off
40,Loafers For Men,₹394,60% off
41,Women's Mesh Sports Shoes Walking Running Shoes For Wom...,₹398,60% off
42,Men 9325 Latest Collection Stylish Sports Sneakers Runn...,₹199,80% off
43,Trendy Men Sports Running Running Shoes For Men,₹249,80% off
44,GEL CONTEND 4B+ Running Shoes For Men,"₹2,349",36% off
45,Plasma-08 sports shoes for men | Latest Stylish Casual ...,₹549,56% off
46,CUBIC_1 Running Shoes For Men,₹223,82% off
47,Sports Casual Running Shoes For Men,₹394,60% off
48,wndr-13 sports shoes for men | Latest Stylish Casual sp...,₹448,35% off
49,Asian Plasma-08 sports shoes for men | Latest Stylish C...,₹549,56% off
50,Stylish Good Looking Casual Loafers Loafers For Men,₹399,60% off
51,Loafers For Men,₹289,71% off
52,Designer Loafers For Men,₹204,59% off
53,Casuals For Men,"₹1,148",42% off
54,White Sneaker For Men's/Boy's Sneakers For Men,₹349,65% off
55,Superfly-01 Grey Sports Shoes with Beads Technology Sol...,₹789,60% off
56,Running Shoes For Men,₹349,65% off
57,Oxygen-01 navy Running shoes dual capsule technology fo...,"₹1,048",47% off
58,Creta-12 sports shoes for men | Latest Stylish Casual s...,₹659,49% off
59,Future-01 running shoes For Men,₹436,32% off
60,New Design Lightweight Stylish and Tredy Sports Running...,₹289,71% off
61,Revolution 4 Running Shoes For Men,"₹1,749",52% off
62,Nike Air Max INTRLK Lite Men's Shoes Running Shoes For ...,"₹4,419",37% off
63,Creta-12 sports shoes for men | Latest Stylish Casual s...,₹659,49% off
64,"Casuals, Canvas, Partywear Sneakers For Men",₹394,60% off
65,Casuals For Men,₹349,65% off
66,Casual Boot Boots For Men,₹549,72% off
67,Men 5014 Latest Collection Stylish Casual Sports Loafer...,₹209,58% off
68,Latest Collection-1215 Stylish Casual Sports Sneakers F...,₹159,68% off
69,Women's Mesh Sports Shoes Walking Running Shoes For Wom...,₹449,55% off
70,Running Shoes For Men,₹444,77% off
71,Asian Plasma-08 sports shoes for men | Latest Stylish C...,₹549,56% off
72,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training...",₹548,45% off
73,Oxygen-01 white Running shoes dual capsule technology f...,"₹1,048",47% off
74,Double protection Stylish & Comfortable Running & Sport...,₹586,70% off
75,Hattrick-21 Running Shoes For Men,₹648,48% off
76,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training...",₹548,45% off
77,Sneakers For Men,₹269,73% off
78,Series 7 Sneakers For Men,₹394,60% off
79,Loafers For Men,₹449,55% off
80,Loafers For Men,₹349,65% off
81,Sneakers For Men,₹424,57% off
82,Running Shoes For Men,₹706,29% off
83,"Spider-01 White Sports,Casual,Walking,Gym, Running Shoe...","₹1,149",42% off
84,Running Shoes For Men,₹349,65% off
85,"Bersache Sports Running, Loafers, Sneakers Shoes for Me...",₹249,50% off
86,Running Shoes For Men,₹324,67% off
87,Running Shoes For Men,₹249,75% off
88,"Cosko Black Sports Shoes,Running Shoes,Walking Shoes,Tr...",₹548,45% off
89,Captain-13 Running shoes for boys | sports shoes for me...,₹523,47% off
90,Running Shoes For Men,₹389,80% off
91,Boots For Men,₹499,50% off
92,Running Shoes For Men,₹229,77% off
93,Loafers For Men,₹399,60% off
94,Sneakers For Men,₹399,73% off
95,Crystal-13 Black sky Sports Transparent Sole Technology...,"₹1,348",41% off
96,Latest Collection-1227 Stylish Casual Sports Sneakers F...,₹209,58% off
97,Casuals For Men,₹449,77% off
98,Sneakers For Men,₹349,65% off
99,Rider-01 White Running Shoes for Men I Sport Shoes for ...,"₹1,148",42% off
100,Shoes for Men Pack of 3 Running Shoes For Men,₹738,50% off
101,Go Walk 4 Walking Shoes For Men,"₹2,771",51% off
102,Stride Runner Running Shoes For Men,₹994,47% off
103,Mesh Sports Walking Shoes For Men,₹249,50% off
104,Lace Up For Men,₹309,69% off
105,Mesh Running Shoes For Men,₹269,73% off
106,Double protection Stylish & Comfortable Running & Sport...,₹586,70% off
107,Hustle V2 Wns Running Shoes For Women,"₹1,139",71% off
108,Worldcup-03 Running shoes for boys | sports shoes for m...,"₹1,049",47% off
109,"Bersache Sports (Walking & Gym Shoes) Running, Loafers,...",₹249,50% off
110,wndr-13 sports shoes for men | Latest Stylish Casual sp...,₹448,35% off
111,For Men,₹269,86% off
112,Latest Collection Black-349 Trendy & Stylish Casual Sne...,₹199,60% off
113,Sports Running Shoes Sneakers For Men,₹289,71% off
114,Mesh For Men,₹354,64% off
115,Walking Shoes For Women,₹412,58% off
116,High Tops For Men,"₹1,299",71% off
117,SM-162 Black Walking Shoes (Black) For Men,₹448,35% off
118,Latest Lightweight Stylish SOCKS Running Shoes For Men,₹566,43% off
