,name,price,discount
0,Running Shoes For Men,₹209,58% off
1,Exclusive Range of Stylish Casual Walking Comfortable S...,₹192,72% off
2,Revolution 6 Next Nature Road s Running Shoes For Men,"₹2,277",38% off
3,Revolution 6 Next Nature Road s Running Shoes For Men,"₹2,277",38% off
4,Exclusive Range of Stylish Comfortable Sports Sneakers ...,₹247,75% off
5,Running Shoes For Men,₹249,75% off
6,Running Shoes For Men,₹599,70% off
7,Running Shoes For Men Running Shoes For Men,₹399,60% off
8,Canvas Shoes For Men,₹374,62% off
9,Loafers For Men,₹251,74% off
10,Fit-Man Slip On Sneakers For Men,₹159,87% off
11,Designer Loafers For Men,₹204,59% off
12,Sneakers For Men,₹399,60% off
13,Stylish Casual Sports Shoe Sneakers For Women Sneakers ...,₹388,61% off
14,Tesla-44 Running Shoes For Men,₹394,60% off
15,JK Port Fashionable Sports Shoes Running Shoes For Men,₹449,55% off
16,Stride Runner Running Shoes For Men,₹994,47% off
17,Running Shoes For Men,₹269,73% off
18,SOCKS Training & Gym Shoes For Men,₹349,70% off
19,SOCKS Running Shoes For Men,₹349,65% off
20,HURRICANE Running Shoes For Men,₹749,42% off
21,Sneakers For Men,₹348,65% off
22,"Casual , Partywear Sneakers Shoes For Men's And Boys Wh...",₹249,62% off
23,5013-Latest Collection Stylish & Trendy of casuals Snea...,₹159,68% off
24,5011-Latest Collection Stylish & Trendy Casual Sneakers...,₹159,68% off
25,Loafers For Men,₹199,80% off
26,Sneakers For Men,₹317,68% off
27,Mojaris For Men,₹349,65% off
28,Running Shoes Running Shoes For Men,₹249,75% off
29,Asian Hattrick-21 sports shoes for men | Latest Stylish...,₹649,48% off
30,Creta-12 sports shoes for men | Latest Stylish Casual s...,₹648,50% off
31,Plasma-08 sports shoes for men | Latest Stylish Casual ...,₹549,56% off
32,Energy Runner 2.0 Running Shoes For Men,"₹1,214",47% off
33,Men 9323 Latest Collection Stylish Sports Sneakers Runn...,₹199,80% off
34,GEL CONTEND 4B+ Running Shoes For Men,"₹2,349",36% off
35,Trendy Men Sports Running Running Shoes For Men,₹249,80% off
36,Stylish Good Looking Casual Shoes Loafers For Men,₹389,61% off
37,Fit-Man Slip On Sneakers For Men,₹159,87% off
38,Casuals For Men,₹349,82% off
39,Royal Look Party Wear Shoes For Men ll Casual Shoes For...,₹669,48% off
40,Loafers For Men,₹289,71% off
41,Superfly-01 Grey Sports Shoes with Beads Technology Sol...,₹789,60% off
42,Running Shoes For Men,₹249,75% off
43,"Spider-01 White Sports,Casual,Walking,Gym, Running Shoe...","₹1,149",42% off
44,wndr-13 sports shoes for men | Latest Stylish Casual sp...,₹448,35% off
45,GEL CONTEND 4B+ Running Shoes For Men,"₹1,791",51% off
46,CUBIC_1 Running Shoes For Men,₹229,82% off
47,Running Shoes For Men,₹249,75% off
48,Plasma-08 sports shoes for men | Latest Stylish Casual ...,₹549,56% off
49,Rafale-01 sports shoes for men | Latest Stylish Casual ...,₹549,57% off
50,Running Shoes For Men,₹349,65% off
51,Boots For Men,₹429,57% off
52,Oxygen-01 navy Running shoes dual capsule technology fo...,"₹1,048",47% off
53,Sneakers For Men,₹399,60% off
54,Designer Loafers For Men,₹204,59% off
55,Boots For Men,₹499,50% off
56,Casuals For Men,"₹1,148",42% off
57,Stylish Good Looking Casual Loafers Loafers For Men,₹399,60% off
58,"Casuals, Canvas, Partywear Sneakers For Men",₹394,60% off
59,Crystal-13 Black sky Sports Transparent Sole Technology...,"₹1,348",41% off
60,Women's Mesh Sports Shoes Walking Running Shoes For Wom...,₹398,60% off
61,Creta-12 sports shoes for men | Latest Stylish Casual s...,₹659,49% off
62,New Design Lightweight Stylish and Tredy Sports Running...,₹289,71% off
63,Rider-01 White Running Shoes for Men I Sport Shoes for ...,"₹1,148",42% off
64,Running Shoes For Men,₹444,77% off
65,Revolution 4 Running Shoes For Men,"₹1,749",52% off
66,Creta-12 sports shoes for men | Latest Stylish Casual s...,₹659,49% off
67,Mesh Sports Walking Shoes For Men,₹249,50% off
68,Asian Plasma-08 sports shoes for men | Latest Stylish C...,₹549,56% off
69,Future-01 running shoes For Men,₹436,32% off
70,Oxygen-01 white Running shoes dual capsule technology f...,"₹1,048",47% off
71,Missile-01 grey Running Shoes for Men I Sport Shoes for...,"₹1,248",37% off
72,Casual Boot Boots For Men,₹549,72% off
73,White Sneaker For Men's/Boy's Sneakers For Men,₹349,65% off
74,Royal Look Party Wear Shoes For Men ll Casual Shoes For...,₹669,48% off
75,For Men,₹269,86% off
76,Casuals For Men,₹349,65% off
77,Sneakers For Men,₹269,73% off
78,Revolution 6 Next Nature WoRoad s Running Shoes For Wom...,"₹2,342",36% off
79,Hustle V2 Wns Running Shoes For Women,"₹1,139",71% off
80,Black Synthetic Leather Casual Loafer Loafers For Men,₹416,58% off
81,"Casual , Partywear Sneakers Shoes For Men's And Boys Wh...",₹334,66% off
82,Austin 2.0 W Running Shoes For Women,"₹1,273",44% off
83,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training...",₹548,45% off
84,Bouncer-01 Running shoes for boys | sports shoes for me...,₹449,55% off
85,Gym/Walking/Running Running Shoes For Men,₹399,60% off
86,LeBron Witness 6 EP Basketball Shoes Basketball Shoes F...,"₹5,175",37% off
87,Aadi Gym/Walking/Running Walking Shoes For Men,₹444,77% off
88,Sneakers For Men,"₹1,099",45% off
89,Men 9324 Latest Collection Stylish Sports Sneakers Runn...,₹199,80% off
90,"Cosko Black Sports Shoes,Running Shoes,Walking Shoes,Tr...",₹548,45% off
91,Royal Look Party Wear Shoes For Men ll Casual Shoes For...,₹669,48% off
92,Sneakers For Men,₹349,65% off
93,Sneakers For Men,₹351,64% off
94,Casuals For Men,₹399,60% off
95,Sneakers For Men,₹424,57% off
96,Sneakers For Women,₹479,68% off
97,Adiscend M Running Shoes For Men,"₹1,599",46% off
98,Easywalk-08 Running shoes for boys |sports shoes for me...,₹648,35% off
99,Alpine Running Shoes For Men,"₹1,669",58% off
100,Outdoors For Men,₹544,72% off
101,Worldcup-03 Running shoes for boys | sports shoes for m...,"₹1,049",47% off
102,GS-CRAFTON Running Shoes For Men,"₹1,524",64% off
103,Century-12 Running shoes for boys | sports shoes for me...,₹498,50% off
104,Running Shoes For Men,₹449,55% off
105,Casuals For Men,"₹1,299",71% off
106,Loafers For Men,₹199,80% off
107,Loafers For Men,₹289,71% off
108,casual for men Sneakers For Men,₹399,60% off
109,Loafers For Men,₹399,60% off
110,Zipper Synthetic Leather Casual Partywear New Design St...,₹359,64% off
111,Easywalk-08 Running shoes for boys |sports shoes for me...,₹648,35% off
112,Running Shoes Running Shoes For Men,₹449,55% off
113,Running Shoes For Men,₹348,65% off
114,Double protection Stylish & Comfortable Running & Sport...,₹586,70% off
115,"Stylish and Trendy New Design Lightweight, Breathable W...",₹246,50% off
116,Running Shoes For Men,₹349,65% off
117,Bouncer-01 for boys | sports shoes | Latest Stylish Cas...,₹449,55% off
118,GS CRAFTON Running Shoes For Men,"₹1,642",61% off
119,Legend Essential 2 Training & Gym Shoes For Men,"₹2,782",38% off
120,Casuals For Men,₹348,82% off
121,Brown Synthetic Leather Casual Loafer Loafers For Men,₹374,62% off
122,casual for men Sneakers For Men,₹399,60% off
123,"Spider-01 White Sports,Casual,Walking,Gym, Running Shoe...","₹1,149",42% off
124,Latest Collection-1227 Stylish Casual Sports Sneakers F...,₹209,58% off
125,MEN's Boots For Men,₹449,77% off
126,Zipper Synthetic Leather Casual Partywear New Design St...,₹359,64% off
127,Running Shoes For Men,₹249,75% off
128,Popcorn-02 white Sport Shoes with Beads Technology Sole...,₹949,52% off
129,Go Walk 4 Walking Shoes For Men,"₹2,771",51% off
130,Stride Runner Running Shoes For Men,₹994,47% off
131,Boots For Men,₹429,57% off
