,name,price,rating
0,LG OK55 XBOOM 500 W Bluetooth Party Speaker,"29,999",4.3
1,LG OK75 XBOOM 1000 W Bluetooth Party Speaker,"35,999",4.3
2,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
3,F FERONS Wireless rechargeable portable Premium bass Mu...,429,3.9
4,F FERONS Wireless rechargeable portable Premium Dj bass...,429,3.9
5,"Mivi Fort S100 with 2 in-built subwoofers, Made in Indi...","4,999",4.5
6,Mivi Roam2 5 W Bluetooth Speaker,999,4.3
7,LG X-Boom ON2D with Inbuilt DVD Player Bluetooth Party ...,"10,999",4
8,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
9,"Mivi Fort S60 with 2 in-built subwoofers, Made in India...","3,499",4.6
10,DINGLOT MINI WS – 887 Bluetooth Speaker 5 W Bluetooth G...,285,3.8
11,LG Eclair (QP5) 320 W Bluetooth Soundbar,"42,999",0
12,boAt Stone Grenade 5 W Portable Bluetooth Speaker,"1,199",4.2
13,boAt Stone 1000 14 W Portable Bluetooth Speaker,"2,799",4.4
14,JBL Flip Essential IPX7 Waterproof 16 W Bluetooth Speak...,"4,999",4.4
15,LG SNH5 With DTS Virtual:X and AI Sound Pro 600 W Bluet...,"24,999",4.2
16,etmax NANO PLUS 30 W Bluetooth Home Theatre,949,3.8
17,F FERONS 100% Best Quality Super Bass 3D Sound Wireless...,398,4
18,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,"1,399",4.1
19,LG SL4 300 W Bluetooth Soundbar,"10,499",4
20,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,"1,399",4.1
21,boAt Aavante Bar 2000 160 W Bluetooth Soundbar,"9,499",4.4
22,Mivi Play 5 W Portable Bluetooth Speaker,799,4.2
23,LG SJ3 300 W Wireless Dolby Bluetooth Soundbar,"10,499",4.1
24,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
25,SONY SA-D40 80 W Bluetooth Home Theatre,"8,935",4.4
26,PTron Fusion 10W Bluetooth Speaker 10 W Bluetooth Speak...,"1,199",4.3
27,LG OL100 2000 W Bluetooth Home Theatre,"56,569",5
28,Mivi Play 5 W Portable Bluetooth Speaker,799,4.2
29,boAt Stone 1000 14 W Bluetooth Speaker,"2,799",4.4
30,ZEBRONICS ZEB-FEEL 4 60 W Bluetooth Home Theatre,"2,299",3.9
31,SONY HT-S20R Dolby Digital 400 W Bluetooth Soundbar,"17,990",4.4
32,ZEBRONICS Zeb - Fame 5 watt Laptop/Desktop Speaker,549,4.1
33,SAMSUNG HW-T45E/XL With Wireless Subwoofer 200 W Blueto...,"8,499",4.1
34,F FERONS Best Quality Super Bass 3D Sound Wireless rech...,398,4
35,LG SP8A 440 RMS Bluetooth Soundbar,"47,999",0
36,ZEBRONICS BT4440 RUCF 60 Watt Bluetooth Home Theatre,"3,099",4.1
37,CIHLEX NEW 2021 A005 Dolby sound Bass With Disco Color ...,644,4
38,boAt Rugby Plus 16 W Bluetooth Speaker,"1,799",4.1
39,PHILIPS SPA9120B/94 120 W Bluetooth Tower Speaker,"24,090",4.4
40,F FERONS 100% good Quality WS-887 Mini Bluetooth Speake...,289,3.8
41,boAt Rugby Plus 16 W Bluetooth Speaker,"1,999",4.1
42,Mi Outdoor 5 W Bluetooth Speaker,"1,499",4.2
43,boAt Stone Grenade 5 W Portable Bluetooth Speaker,"1,199",4.2
44,boAt Aavante Bar 3100D 260 W Bluetooth Soundbar,"13,999",4.2
45,Portronics SoundDrum 1 10 W Bluetooth Speaker,"1,289",4.4
46,Intex IT-XM BANG SUFB 78 W Bluetooth Home Theatre,"3,599",4.1
47,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
48,ZEBRONICS Juke bar 3500 60 W Bluetooth Soundbar,"3,499",4.3
49,F&D A140X 37 W Bluetooth Home Theatre,"3,099",4.2
50,ULTADOR 006 rending Woofer Dual Horn Dj Power boost Hig...,675,4.4
51,SAMSUNG HW-T42E/XL Dolby Digital 150 W Bluetooth Soundb...,"8,199",4.1
52,boAt Aavante Bar 1200 80 W Bluetooth Soundbar,"6,799",4.4
53,boAt Stone 650 10 W Bluetooth Speaker,"1,799",4.3
54,Mivi Play 5 W Portable Bluetooth Speaker,799,4.2
55,U&i Sumo Series with Karaoke mic and 6 hours Battery Ba...,859,4
56,ZEBRONICS Zeb-County 3 W Bluetooth Speaker,602,4.1
57,boAt Rugby Plus 16 W Bluetooth Speaker,"1,899",4.1
58,ZEBRONICS ZEB-Juke Bar 9400 Pro Dolby 525 W Bluetooth S...,"14,999",4.2
59,MZ TG-113 (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder ...,399,3.9
60,ZEBRONICS ZEB-WARRIOR 10 W Laptop/Desktop Speaker,799,4.2
61,ZEBRONICS Zeb-Sunshine 60 W Bluetooth Home Theatre,"1,999",3.6
62,ZEBRONICS INDIE 105 W Bluetooth Home Theatre,"5,499",4.2
63,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
64,Borneo Ultra 3d sound blast With rich premium Super dee...,452,3.8
65,tapfuture Ultra Mini Boost Wireless Portable Bluetooth ...,529,3.8
66,QUANTUM SonoTrix 51 Bluetooth Speaker 5 W Bluetooth Spe...,699,4.8
67,Portronics Pure Sound 102 160 W Bluetooth Home Theatre,"7,999",3.4
68,JBL GO2 Portable Bluetooth Speaker,"2,479",4.3
69,boAt Stone 260 4 W Portable Bluetooth Speaker,"1,399",4.4
70,Boult Audio BassBox Verve 10 W Bluetooth Speaker,"1,299",4.2
71,Aroma Studio 1 Pro High Sound Quality With 6 Hours Play...,499,4
72,CIHYARD TG-113 Mini Bluetooth Portable Home Speaker Com...,379,3.7
73,LG LK72B XBOOM 40 W Bluetooth Home Theatre,"4,299",4.3
74,F FERONS 100% GOOD QUALITY A005|3D Thumping sound| Spla...,375,4
75,PHILIPS SPA5162/94 60 W Bluetooth Home Theatre,"6,389",4.1
76,Portronics SoundDrum 1 10 W Bluetooth Speaker,"1,299",4.4
77,KRISONS Polo Red 7.1 |Home Theater 7.1|Bluetooth|AUX|FM...,"2,427",4.1
78,MOTOROLA AmphisoundX Dolby Audio 400 W Bluetooth Soundb...,"11,499",4
79,Ubon SP-6585 Badshah 12 W Bluetooth Speaker,"1,399",3.3
80,tapfuture Ultra Mini Boost Wireless Portable Bluetooth ...,529,3.8
81,QUANTUM SonoTrix 51 Bluetooth Speaker 5 W Bluetooth Spe...,699,4.3
82,JBL GO2 Portable Bluetooth Speaker,"2,479",4.3
83,boAt Aavante Bar 3100D 260 W Bluetooth Soundbar,"13,999",4.2
84,Boult Audio BassBox Verve 10 W Bluetooth Speaker,"1,299",4.2
85,JBL Moviebar 80 Dolby Digital 110 W Bluetooth Soundbar,"9,499",4.1
86,CIHYARD TG-113 Mini Bluetooth Portable Home Speaker Com...,379,3.7
87,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
88,F FERONS 100% GOOD QUALITY A005|3D Thumping sound| Spla...,375,4
89,KRISONS Polo Red 7.1 |Home Theater 7.1|Bluetooth|AUX|FM...,"2,427",4.1
90,LG LK72B XBOOM 40 W Bluetooth Home Theatre,"4,299",4.3
91,U&i Sumo Series with Karaoke mic and 6 hours Battery Ba...,859,4
92,MOTOROLA AmphisoundX Dolby Audio 400 W Bluetooth Soundb...,"11,499",4
93,Portronics SoundDrum 1 10 W Bluetooth Speaker,"1,299",4.4
94,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
95,MZ TG-113 (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder ...,399,3.9
96,ZEBRONICS Juke bar 4000 80 W Bluetooth Soundbar,"5,799",4.3
97,F&D 203G 11 W Portable Laptop/Desktop Speaker,"1,499",4.2
98,SONY SRS-XB13 Bluetooth Speaker,"3,990",4
99,Ubon SP-6585 Badshah 12 W Bluetooth Speaker,"1,399",3.3
100,boAt Aavante Bar 90 W Bluetooth Soundbar,"5,799",4.3
101,CIHLEX CX-887 Bluetooth Speaker 3D Bass New Arrival Wir...,284,3.8
102,boAt Blitz 1500 Multimedia 50 W Bluetooth Home Theatre,"3,299",4
103,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
104,PHILIPS MMS8085B/94 Convertible 80 W Bluetooth Home The...,"7,940",4.2
105,ZEBRONICS ZEB-SOUND FEAST 500 70 W Bluetooth Party Spea...,"3,999",4.2
106,boAt Stone 190F 5 W Bluetooth Speaker,"1,199",4.4
