,name,price,discount
0,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
1,MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick,₹266,23% off
2,Sh.Huda 12 pc set Liquid matte lipstick,₹359,64% off
3,NYN HUDA Insta Beauty Sensational Liquid Matte Lipstick...,₹196,60% off
4,SWISS BEAUTY Lipstick SB-S6 Shade-222,₹158,31% off
5,Lakmé Forever Matte Liquid Lip Colour -,₹221,25% off
6,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit 38gm,₹431,25% off
7,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
8,Lakmé Enrich Matte Lipstick,₹225,23% off
9,SWISS BEAUTY HD Matte Lipstick (SB-212-05),₹199,33% off
10,THE NYN Insta Beauty Super Stay Water Proof Sensational...,₹185,63% off
11,MICIO Lucious Lips,₹120,55% off
12,Wet n Wild MegaLast Liquid Catsuit Matte Lipstick,₹425,29% off
13,The MN Insta Beauty Super Stay Water Proof Sensational ...,₹185,63% off
14,teayason Red Edition Liquid Matte Lipsticks,₹197,50% off
15,AngelX Crazy Matte Me Liquid Lipstick,₹149,25% off
16,RONZILLE Mini Bullet Lipstick Set of 12 Shade A,₹199,60% off
17,RONZILLE Pocket Matte Lipstick set of 10 pc,₹249,68% off
18,Lakmé 9TO5 Primer + Matte Lip Color,₹350,30% off
19,Seven Seas Lip Duo 2 In 1 Liquid Lipstick with Lipstick...,₹170,32% off
20,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹210,29% off
21,MamaEarth Moisture Matte Longstay Lipstick for 12 Hour ...,₹403,19% off
22,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
23,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹312,10% off
24,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹265,11% off
25,MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick,₹249,28% off
26,NYN HUDA Insta Beauty 5 in 1 Forever Enrich Matte Lipst...,₹224,62% off
27,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
28,MAYBELLINE NEW YORK Sara's Favorite Sensational Liquid ...,₹718,30% off
29,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
30,teayason Insta Beauty Super Stay Water Proof Sensationa...,₹185,63% off
31,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
32,MAYBELLINE NEW YORK Color Sensational Creamy Matte,₹223,25% off
33,MamaEarth Moisture Matte Longstay Lipstick for 12 Hour ...,₹403,19% off
